package_name,binary_name,version,os,arch,package_sha1,package_sha256,binary_sha1,binary_sha256
rclone-v1.62.1-windows-amd64.zip,rclone.exe,v1.62.1,windows,amd64,56efe9a9d755ce02074ae09b0050aaa0c1698b2b,4a505e5ba3cb162eaee14fe99e0340b1477d79f8b3ba9d9cf756847a5d8c6f47,3420e02a95d11c7e104b7ba8a40fca42dcc15ad1,5eae9b7f5a70774ce8e3a926ec1d6aaa48054a3e2c916565ebf327a4acca8726
rclone-v1.62.1-windows-arm64.zip,rclone.exe,v1.62.1,windows,arm64,63a5a6bab702a1bd1a05bca95dfede2ea960543c,7110096e52faff29a4d6c683d1223876280852679963a1d7dac8d79994369a65,398c000add90bf1b5c225ee61efdd8abc3ab2c73,12226c7210b1c5c060863c129ffacd481a5410da9980c27706c9f7289456b781
rclone-v1.62.2-freebsd-386.zip,rclone,v1.62.2,freebsd,386,b86da071c82549087783aed7cc58f8b82316eedd,80afb1294e5136dc196ac707ba1da2c66624e67e3467954a152115478a964b73,4d4364ef50e07c0a7951874d8152d019cf174404,cbf7764c45eaa5d2b93c7a7922c6b998e3ab1d6c629ec423c049795b574f317d
rclone-v1.62.2-freebsd-amd64.zip,rclone,v1.62.2,freebsd,amd64,4977b9a763ecf56138377c72d00a21f2d979336f,c01c9a0988791643b5c0ce5936f5328322286b602517718f134ff08564708e14,a7a28a0ca5edce479369e7ec740815c6cf9be62a,97c9bc48b9fb161c49e9f5d5071f75005c6962386bf66e6e9c879600d5bc77f2
rclone-v1.62.2-freebsd-arm-v6.zip,rclone,v1.62.2,freebsd,arm-v6,381f300690045094d6c6c63d5882680ca7608f87,071b361f116e77b4ce5007e1964d0a68ff7a8817f43b52bf9941544398462e1c,cdd417153eb152055101780a9bf77e61bd91b4d2,e656f062ee39367428904ef15ba6fc6d47c26ffcdd8df96013fe83d80f00a18f
rclone-v1.62.2-freebsd-arm-v7.zip,rclone,v1.62.2,freebsd,arm-v7,6a8b4abc900bb9cffdbd6315e07878458b9111dc,39af973b5bd6a20c70101c2e5c2b394985d0c3f043c64c24de4c1cc8546b03c6,f5686450b7252bc7a7d9c2a1daf388c3a8aab0cd,9ee664fa8ce64ef124d955c20b52681970450eb3fb53bd15623376c03edf9fe1
rclone-v1.62.2-freebsd-arm.zip,rclone,v1.62.2,freebsd,arm,794ebb4863608c1c68b7963c8ecac0d0283faa51,822855a1e7c58a8b1cf0ec31a900a03009dd1015135f98d99cf6aac1472b000f,4927051a8247e125f9938d2d2d22de0e3cfe093d,cb82c97a08f1b6a90c3fe733519ba90c5e6b8db2c064d6ad653c15c22437dec8
rclone-v1.62.2-linux-386.deb,rclone,v1.62.2,linux,386,433b4950ec1d4efafde3146c57fef7b51da31c9a,743592ce1fa6a16f1abf80c3226237e59e4661491124a5f97824a0dfc5ae0ba2,f52722f17d1919018966592741bdb2df5589e513,965895da30545dfedf017464ed2f2800c9f94bc7119325d25728434a623d1eeb
rclone-v1.62.2-linux-386.rpm,rclone,v1.62.2,linux,386,1779b897618729916831af5b1d3c3ba9fb76ad30,f3d5d5dfe286aab5d5c0a7911ddc14ef414c26869f47197a8a3a15b4e6e716ad,f52722f17d1919018966592741bdb2df5589e513,965895da30545dfedf017464ed2f2800c9f94bc7119325d25728434a623d1eeb
rclone-v1.62.2-linux-386.zip,rclone,v1.62.2,linux,386,aee14568c9e2af3809ffb47043bfc71f804af765,d3ca7fc7741d1c53f23d0412824e565483bca19a43258005abf2f41cb8e19fbc,f52722f17d1919018966592741bdb2df5589e513,965895da30545dfedf017464ed2f2800c9f94bc7119325d25728434a623d1eeb
